Date,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered
2020-03-01,DKI Jakarta,2,0,0,2,39,20,75
2020-03-02,DKI Jakarta,2,0,0,2,41,20,75
2020-03-02,Indonesia,2,0,0,2,2,0,0
2020-03-02,Riau,1,0,0,1,1,0,1
2020-03-03,DKI Jakarta,2,0,0,2,43,20,75
2020-03-03,Indonesia,0,0,0,0,2,0,0
2020-03-03,Jawa Barat,1,1,0,0,1,1,60
2020-03-03,Riau,0,0,0,0,1,0,1
2020-03-04,DKI Jakarta,2,0,0,2,45,20,75
2020-03-04,Indonesia,0,0,0,0,2,0,0
2020-03-04,Jawa Barat,1,0,0,1,2,1,60
2020-03-04,Riau,0,0,0,0,1,0,1
2020-03-05,DKI Jakarta,0,1,0,-1,45,21,75
2020-03-05,Indonesia,0,0,0,0,2,0,0
2020-03-05,Jawa Barat,1,0,0,1,3,1,60
2020-03-05,Riau,0,0,0,0,1,0,1
2020-03-06,Banten,1,0,1,0,1,5,111
2020-03-06,DKI Jakarta,0,0,0,0,45,21,75
2020-03-06,Indonesia,2,0,0,2,4,0,0
2020-03-06,Jawa Barat,1,0,0,1,4,1,60
2020-03-06,Riau,0,0,0,0,1,0,1
2020-03-07,Banten,0,0,0,0,1,5,111
2020-03-07,DKI Jakarta,0,2,0,-2,45,23,75
2020-03-07,Indonesia,0,0,0,0,4,0,0
2020-03-07,Jawa Barat,0,0,0,0,4,1,60
2020-03-07,Riau,0,0,0,0,1,0,1
2020-03-08,Banten,1,0,3,-2,2,5,114
2020-03-08,DKI Jakarta,0,0,0,0,45,23,75
2020-03-08,Indonesia,2,0,0,2,6,0,0
2020-03-08,Jawa Barat,0,0,0,0,4,1,60
2020-03-08,Jawa Tengah,1,1,0,0,1,10,11
2020-03-08,Riau,0,0,0,0,1,0,1
2020-03-09,Banten,0,0,0,0,2,5,114
2020-03-09,DKI Jakarta,0,1,0,-1,45,24,75
2020-03-09,Indonesia,13,0,0,13,19,0,0
2020-03-09,Jawa Barat,0,0,0,0,4,1,60
2020-03-09,Jawa Tengah,0,0,0,0,1,10,11
2020-03-09,Riau,0,0,0,0,1,0,1
2020-03-10,Banten,0,0,8,-8,2,5,122
2020-03-10,DKI Jakarta,0,0,0,0,45,24,75
2020-03-10,Indonesia,8,0,2,6,27,0,2
2020-03-10,Jawa Barat,0,0,0,0,4,1,60
2020-03-10,Jawa Tengah,0,0,0,0,1,10,11
2020-03-10,Riau,0,0,0,0,1,0,1
2020-03-10,Sulawesi Tenggara,1,0,0,1,1,0,0
2020-03-11,Bali,1,1,0,0,1,1,3
2020-03-11,Banten,0,0,8,-8,2,5,130
2020-03-11,DKI Jakarta,0,0,0,0,45,24,75
2020-03-11,Indonesia,7,1,0,6,34,1,2
2020-03-11,Jawa Barat,0,1,0,-1,4,2,60
2020-03-11,Jawa Tengah,2,1,1,0,3,11,12
2020-03-11,Riau,0,0,0,0,1,0,1
2020-03-11,Sulawesi Tenggara,0,0,0,0,1,0,0
2020-03-12,Bali,0,0,0,0,1,1,3
2020-03-12,Banten,0,1,2,-3,2,6,132
2020-03-12,DKI Jakarta,2,1,4,-3,47,25,79
2020-03-12,Indonesia,0,0,0,0,34,1,2
2020-03-12,Jawa Barat,1,0,0,1,5,2,60
2020-03-12,Jawa Tengah,0,0,0,0,3,11,12
2020-03-12,Riau,0,0,0,0,1,0,1
2020-03-12,Sulawesi Tenggara,0,0,0,0,1,0,0
2020-03-13,Bali,0,0,0,0,1,1,3
2020-03-13,Banten,1,1,0,0,3,7,132
2020-03-13,DKI Jakarta,4,1,3,0,51,26,82
2020-03-13,Indonesia,35,3,0,32,69,4,2
2020-03-13,Jawa Barat,4,0,1,3,9,2,61
2020-03-13,Jawa Tengah,0,0,0,0,3,11,12
2020-03-13,Riau,0,0,0,0,1,0,1
2020-03-13,Sulawesi Tenggara,0,0,0,0,1,0,0
2020-03-14,Bali,0,0,0,0,1,1,3
2020-03-14,Banten,1,0,2,-1,4,7,134
2020-03-14,DKI Jakarta,2,1,1,0,53,27,83
2020-03-14,Indonesia,27,1,6,20,96,5,8
2020-03-14,Jawa Barat,0,0,0,0,9,2,61
2020-03-14,Jawa Tengah,2,0,1,1,5,11,13
2020-03-14,Kalimantan Timur,3,0,0,3,3,0,3
2020-03-14,Riau,0,0,0,0,1,0,1
2020-03-14,Sulawesi Tenggara,0,0,0,0,1,0,0
2020-03-15,Bali,0,0,0,0,1,1,3
2020-03-15,Banten,1,0,5,-4,5,7,139
2020-03-15,DKI Jakarta,8,3,0,5,61,30,83
2020-03-15,Indonesia,21,0,0,21,117,5,8
2020-03-15,Jawa Barat,0,0,2,-2,9,2,63
2020-03-15,Jawa Tengah,1,0,1,0,6,11,14
2020-03-15,Kalimantan Timur,2,0,0,2,5,0,3
2020-03-15,Riau,0,0,0,0,1,0,1
2020-03-15,Sulawesi Tenggara,0,0,0,0,1,0,0
2020-03-16,Bali,0,0,0,0,1,1,3
2020-03-16,Banten,1,0,4,-3,6,7,143
2020-03-16,DKI Jakarta,2,3,0,-1,63,33,83
2020-03-16,Daerah Istimewa Yogyakarta,1,0,0,1,1,0,2
2020-03-16,Indonesia,17,0,0,17,134,5,8
2020-03-16,Jawa Barat,0,0,2,-2,9,2,65
2020-03-16,Jawa Tengah,1,0,0,1,7,11,14
2020-03-16,Kalimantan Timur,1,0,0,1,6,0,3
2020-03-16,Riau,0,0,0,0,1,0,1
2020-03-16,Sulawesi Tenggara,2,0,0,2,3,0,0
2020-03-17,Bali,0,0,0,0,1,1,3
2020-03-17,Banten,0,1,3,-4,6,8,146
2020-03-17,DKI Jakarta,2,1,0,1,65,34,83
2020-03-17,Daerah Istimewa Yogyakarta,0,0,0,0,1,0,2
2020-03-17,Indonesia,38,0,1,37,172,5,9
2020-03-17,Jawa Barat,11,0,0,11,20,2,65
2020-03-17,Jawa Tengah,1,0,1,0,8,11,15
2020-03-17,Kalimantan Timur,1,0,0,1,7,0,3
2020-03-17,Riau,0,0,0,0,1,0,1
2020-03-17,Sulawesi Tenggara,0,0,0,0,3,0,0
2020-03-17,Sumatera Utara,1,1,0,0,1,1,10
2020-03-18,Bali,0,0,0,0,1,1,3
2020-03-18,Banten,0,1,1,-2,6,9,147
2020-03-18,DKI Jakarta,1,1,0,0,66,35,83
2020-03-18,Daerah Istimewa Yogyakarta,0,0,0,0,1,0,2
2020-03-18,Indonesia,55,14,2,39,227,19,11
2020-03-18,Jawa Barat,4,1,2,1,24,3,67
2020-03-18,Jawa Tengah,3,1,0,2,11,12,15
2020-03-18,Jawa Timur,7,1,0,6,18,33,337
2020-03-18,Kalimantan Timur,0,0,0,0,7,0,3
2020-03-18,Riau,0,0,0,0,1,0,1
2020-03-18,Sulawesi Tenggara,0,0,0,0,3,0,0
2020-03-18,Sumatera Utara,0,0,0,0,1,1,10
2020-03-19,Bali,1,1,0,0,2,2,3
2020-03-19,Banten,0,1,3,-4,6,10,150
2020-03-19,DKI Jakarta,2,0,1,1,68,35,84
2020-03-19,Daerah Istimewa Yogyakarta,0,0,0,0,1,0,2
2020-03-19,Indonesia,82,6,4,72,309,25,15
2020-03-19,Jawa Barat,5,1,1,3,29,4,68
2020-03-19,Jawa Tengah,2,0,0,2,13,12,15
2020-03-19,Jawa Timur,3,0,0,3,21,33,337
2020-03-19,Kalimantan Timur,0,0,0,0,7,0,3
2020-03-19,Kepulauan Riau,1,1,0,0,1,1,0
2020-03-19,Riau,0,0,0,0,1,0,1
2020-03-19,Sulawesi Selatan,2,0,0,2,2,0,5
2020-03-19,Sulawesi Tenggara,0,0,0,0,3,0,0
2020-03-19,Sumatera Utara,0,0,0,0,1,1,10
2020-03-20,Bali,0,0,0,0,2,2,3
2020-03-20,Banten,0,3,3,-6,6,13,153
2020-03-20,DKI Jakarta,5,3,1,1,73,38,85
2020-03-20,Daerah Istimewa Yogyakarta,1,0,1,0,2,0,3
2020-03-20,Indonesia,60,7,2,51,369,32,17
2020-03-20,Jambi,1,0,0,1,1,0,4
2020-03-20,Jawa Barat,16,4,0,12,45,8,68
2020-03-20,Jawa Tengah,4,0,1,3,17,12,16
2020-03-20,Jawa Timur,9,0,0,9,30,33,337
2020-03-20,Kalimantan Timur,0,0,0,0,7,0,3
2020-03-20,Kepulauan Riau,0,0,0,0,1,1,0
2020-03-20,Riau,0,0,0,0,1,0,1
2020-03-20,Sulawesi Selatan,0,0,0,0,2,0,5
2020-03-20,Sulawesi Tenggara,0,0,0,0,3,0,0
2020-03-20,Sumatera Utara,0,0,0,0,1,1,10
2020-03-21,Bali,0,0,0,0,2,2,3
2020-03-21,Banten,0,0,2,-2,6,13,155
2020-03-21,DKI Jakarta,8,3,6,-1,81,41,91
2020-03-21,Daerah Istimewa Yogyakarta,0,0,0,0,2,0,3
2020-03-21,Indonesia,81,6,3,72,450,38,20
2020-03-21,Jambi,0,0,0,0,1,0,4
2020-03-21,Jawa Barat,5,0,0,5,50,8,68
2020-03-21,Jawa Tengah,1,1,0,0,18,13,16
2020-03-21,Jawa Timur,9,1,0,8,39,34,337
2020-03-21,Kalimantan Timur,0,0,0,0,7,0,3
2020-03-21,Kepulauan Riau,0,0,0,0,1,1,0
2020-03-21,Riau,0,0,0,0,1,0,1
2020-03-21,Sulawesi Selatan,0,0,0,0,2,0,5
2020-03-21,Sulawesi Tenggara,0,0,0,0,3,0,0
2020-03-21,Sumatera Utara,0,0,0,0,1,1,10
2020-03-22,Bali,0,0,0,0,2,2,3
2020-03-22,Banten,0,2,0,-2,6,15,155
2020-03-22,DKI Jakarta,2,0,3,-1,83,41,94
2020-03-22,Daerah Istimewa Yogyakarta,0,0,0,0,2,0,3
2020-03-22,Indonesia,64,10,9,45,514,48,29
2020-03-22,Jambi,0,0,0,0,1,0,4
2020-03-22,Jawa Barat,3,3,1,-1,53,11,69
2020-03-22,Jawa Tengah,1,0,1,0,19,13,17
2020-03-22,Jawa Timur,14,0,0,14,53,34,337
2020-03-22,Kalimantan Timur,0,0,0,0,7,0,3
2020-03-22,Kepulauan Riau,0,0,0,0,1,1,0
2020-03-22,Maluku,1,0,0,1,1,1,1
2020-03-22,Papua,2,0,0,2,2,1,2
2020-03-22,Riau,0,0,0,0,1,0,1
2020-03-22,Sulawesi Selatan,0,0,0,0,2,0,5
2020-03-22,Sulawesi Tenggara,0,0,0,0,3,0,0
2020-03-22,Sumatera Utara,0,0,0,0,1,1,10
2020-03-23,Bali,0,0,0,0,2,2,3
2020-03-23,Banten,0,2,3,-5,6,17,158
2020-03-23,DKI Jakarta,0,0,0,0,83,41,94
2020-03-23,Daerah Istimewa Yogyakarta,0,1,0,-1,2,1,3
2020-03-23,Indonesia,65,1,1,63,579,49,30
2020-03-23,Jambi,0,0,0,0,1,0,4
2020-03-23,Jawa Barat,6,4,0,2,59,15,69
2020-03-23,Jawa Tengah,3,0,0,3,22,13,17
2020-03-23,Jawa Timur,2,1,0,1,55,35,337
2020-03-23,Kalimantan Timur,1,0,0,1,8,0,3
2020-03-23,Kepulauan Riau,0,0,0,0,1,1,0
2020-03-23,Maluku,0,0,0,0,1,1,1
2020-03-23,Maluku Utara,1,0,0,1,1,0,0
2020-03-23,Papua,0,0,0,0,2,1,2
2020-03-23,Riau,0,0,0,0,1,0,1
2020-03-23,Sulawesi Selatan,0,1,0,-1,2,1,5
2020-03-23,Sulawesi Tenggara,0,0,0,0,3,0,0
2020-03-23,Sumatera Selatan,1,2,0,-1,1,2,1
2020-03-23,Sumatera Utara,0,0,0,0,1,1,10
2020-03-24,Bali,0,0,0,0,2,2,3
2020-03-24,Banten,0,1,3,-4,6,18,161
2020-03-24,DKI Jakarta,16,19,3,-6,99,60,97
2020-03-24,Daerah Istimewa Yogyakarta,0,0,0,0,2,1,3
2020-03-24,Indonesia,106,6,0,100,685,55,30
2020-03-24,Jambi,0,0,0,0,1,0,4
2020-03-24,Jawa Barat,2,2,2,-2,61,17,71
2020-03-24,Jawa Tengah,3,1,1,1,25,14,18
2020-03-24,Jawa Timur,3,1,0,2,58,36,337
2020-03-24,Kalimantan Timur,0,0,0,0,8,0,3
2020-03-24,Kepulauan Riau,0,0,0,0,1,1,0
2020-03-24,Maluku,0,0,0,0,1,1,1
2020-03-24,Maluku Utara,0,0,0,0,1,0,0
2020-03-24,Papua,0,0,0,0,2,1,2
2020-03-24,Riau,0,0,0,0,1,0,1
2020-03-24,Sulawesi Selatan,2,0,0,2,4,1,5
2020-03-24,Sulawesi Tenggara,0,0,0,0,3,0,0
2020-03-24,Sumatera Selatan,0,0,0,0,1,2,1
2020-03-24,Sumatera Utara,0,0,0,0,1,1,10
2020-03-25,Bali,0,0,0,0,2,2,3
2020-03-25,Banten,0,1,3,-4,6,19,164
2020-03-25,DKI Jakarta,1,1,0,0,100,61,97
2020-03-25,Daerah Istimewa Yogyakarta,1,1,0,0,3,2,3
2020-03-25,Indonesia,105,3,1,101,790,58,31
2020-03-25,Jambi,0,0,0,0,1,0,4
2020-03-25,Jawa Barat,5,0,1,4,66,17,72
2020-03-25,Jawa Tengah,23,1,1,21,48,15,19
2020-03-25,Jawa Timur,9,0,1,8,67,36,338
2020-03-25,Kalimantan Timur,0,0,0,0,8,0,3
2020-03-25,Kepulauan Riau,0,0,0,0,1,1,0
2020-03-25,Maluku,0,0,0,0,1,1,1
2020-03-25,Maluku Utara,0,0,0,0,1,0,0
2020-03-25,Papua,0,0,0,0,2,1,2
2020-03-25,Riau,0,0,0,0,1,0,1
2020-03-25,Sulawesi Selatan,9,0,0,9,13,1,5
2020-03-25,Sulawesi Tenggara,0,0,0,0,3,0,0
2020-03-25,Sumatera Selatan,0,0,0,0,1,2,1
2020-03-25,Sumatera Utara,0,0,0,0,1,1,10
2020-03-26,Aceh,1,0,0,1,1,0,1
2020-03-26,Bali,0,0,0,0,2,2,3
2020-03-26,Banten,0,0,4,-4,6,19,168
2020-03-26,DKI Jakarta,57,2,0,55,157,63,97
2020-03-26,Daerah Istimewa Yogyakarta,0,0,0,0,3,2,3
2020-03-26,Indonesia,103,20,4,79,893,78,35
2020-03-26,Jambi,0,0,0,0,1,0,4
2020-03-26,Jawa Barat,5,1,0,4,71,18,72
2020-03-26,Jawa Tengah,4,0,1,3,52,15,20
2020-03-26,Jawa Timur,13,1,0,12,80,37,338
2020-03-26,Kalimantan Tengah,2,0,0,2,2,2,39
